epoch,G_loss,D_loss
71,3.630,0.468
72,3.347,0.454
73,3.517,0.372
74,3.217,0.534
75,3.314,0.427
76,3.938,0.351
77,4.382,0.400
78,3.540,0.294
79,3.444,0.365
80,3.219,0.425
81,4.095,0.407
82,3.269,0.396
83,3.747,0.543
84,3.997,0.213
85,3.209,0.501
86,3.607,0.306
87,3.534,0.224
88,3.557,0.312
89,3.465,0.273
90,3.257,0.419
91,3.383,0.390
92,3.098,0.283
93,3.183,0.294
94,3.583,0.371
95,3.384,0.234
96,3.124,0.338
97,3.171,0.311
98,3.707,0.278
99,3.184,0.351
100,3.714,0.277
101,2.941,0.390
102,3.192,0.221
103,3.365,0.300
104,3.171,0.601
105,3.247,0.288
106,3.595,0.169
107,3.171,0.283
108,3.007,0.419
109,2.904,0.288
110,2.849,0.427
111,2.877,0.403
112,3.220,0.346
113,3.434,0.218
114,3.413,0.388
115,2.954,0.336
116,3.336,0.384
117,3.858,0.331
118,3.182,0.304
119,2.670,0.421
120,2.873,0.315
121,3.350,0.364
122,3.228,0.298
123,3.094,0.337
124,2.502,0.461
125,2.833,0.317
126,3.155,0.237
127,3.225,0.343
128,2.942,0.376
129,2.714,0.377
130,3.060,0.525
131,2.783,0.398
132,2.988,0.247
133,3.355,0.212
134,3.156,0.541
135,2.688,0.392
136,2.954,0.286
137,3.117,0.399
138,2.955,0.328
139,3.109,0.307
140,3.376,0.178
141,3.138,0.324
142,2.880,0.281
143,3.066,0.248
144,3.159,0.234
145,2.909,0.265
146,2.920,0.316
147,3.057,0.290
148,3.193,0.371
149,2.989,0.323
150,2.690,0.404
